,,,,,,,,,,
,,Money Keeper,,,,,,,,
,,Personal Finance Book,,,,,,,,
Transaction Report,,,,,,,,,,
From 6/1/2023 to 12/30/2026,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Total income,170.836.000,Opening balance,0
,,,,,,,Total expense,758.746.341,Closing balance,-587.910.341
,,,,,,,,,,
,,,,,,,,,,Currency: VND
No,Date,Time,Income amount,Expense amount,Balance,Parent Category,Category,Payee,Event,Description
118,2/4/2026,08:00,       ,  20.000 ,-536.757.093,Food and Dining,Ăn ngoài tiệm(Cty),,,Bánh cuốn
119,2/3/2026,21:00,       ,  5.000 ,-536.737.093,Đi lại,Gửi xe,,,
120,2/3/2026,12:00,       ,  30.000 ,-536.732.093,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm
121,2/3/2026,12:00,       ,  20.000 ,-536.702.093,Food and Dining,Ăn/Uống vặt,,,Nc cam
122,2/2/2026,14:00,       ,  290.000 ,-536.682.093,Food and Dining,Ăn/Uống vặt,,,Mua khô bò gây quỹ cho cty
123,2/2/2026,12:00,       ,  30.000 ,-536.392.093,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
124,2/2/2026,12:00,       ,  20.000 ,-536.362.093,Food and Dining,Ăn/Uống vặt,,,Nc cam
125,2/2/2026,08:00,       ,  5.000 ,-536.342.093,Đi lại,Gửi xe,,,Cvien
126,2/2/2026,08:00,       ,  50.000 ,-536.337.093,Đi lại,Xăng xe,,,
127,2/1/2026,19:00,       ,  947.692 ,-536.287.093,Food and Dining,Đi siêu thị,,,Go
128,2/1/2026,19:00,       ,  367.000 ,-535.339.401,Mua sắm,,,,"Áo sơ mì, quần lót"
129,1/31/2026,21:30,       ,  925.000 ,-534.972.401,Food and Dining,Ăn ngoài tiệm(Nhà),,,Ăn ốc 68 ngay hội bài
130,1/31/2026,15:30,       ,  2.817.000 ,-534.047.401,Mua sắm,,,,"Mua đồ cho Iu
- 640k 2 đôi giày mwc
- mua đồ yame"
131,1/31/2026,12:00,       ,  300.000 ,-531.230.401,Food and Dining,Ăn ngoài tiệm(Nhà),,,Ăn mì cay sasin vs Lâm
132,1/31/2026,12:00,       ,  50.000 ,-530.930.401,Đi lại,Xăng xe,,,
133,1/31/2026,09:00,       ,  254.000 ,-530.880.401,Mua sắm,,,,Thay củ vòi hoa sen
134,1/31/2026,08:30,       ,  60.000 ,-530.626.401,Food and Dining,Ăn ngoài tiệm(Nhà),,,Cháo lòng
135,1/31/2026,07:00,       ,  8.000 ,-530.566.401,Đi lại,,,,Qua phà
136,1/30/2026,18:00,       ,  200.000 ,-530.558.401,Đi lại,,,,"Thay nhớt 165k 50.800km
Vá 30k
5k tip"
137,1/30/2026,12:00,       ,  2.000 ,-530.358.401,Food and Dining,Ăn/Uống vặt,,,Nc cam
138,1/30/2026,12:00,       ,  30.000 ,-530.356.401,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
139,1/30/2026,08:00,       ,  45.000 ,-530.326.401,Đi lại,Xăng xe,,,
140,1/29/2026,18:30,       ,  90.000 ,-530.281.401,Food and Dining,Ăn ngoài tiệm(Nhà),,,Bò lá lốt
141,1/29/2026,12:00,       ,  40.000 ,-530.191.401,Food and Dining,Ăn ngoài tiệm(Cty),,,Bún bò
142,1/29/2026,12:00,       ,  10.000 ,-530.151.401,Food and Dining,Ăn/Uống vặt,,,Nước mía
143,1/29/2026,12:00,       ,  445.300 ,-530.141.401,Mua sắm,,,,Hạt dinh dưỡng
144,1/28/2026,18:25,       ,  89.000 ,-529.696.101,Food and Dining,Đi siêu thị,,,Bhxanh
145,1/28/2026,18:00,       ,  50.000 ,-529.607.101,Health & Fitness,,,,Khẩu trang
146,1/28/2026,12:50,       ,  50.000 ,-529.557.101,Food and Dining,Ăn ngoài tiệm(Cty),,,Hủ tíu
147,1/28/2026,12:50,       ,  534.100 ,-529.507.101,Food and Dining,Ăn/Uống vặt,,,Bao nước mn dịp trúng 500k
148,1/28/2026,08:00,       ,  8.000 ,-528.973.001,Food and Dining,Ăn/Uống vặt,,,Chai nc suối
149,1/27/2026,20:00,  500.000 ,       ,-528.965.001,Bonus,,,,Trúng thưởng game ITC yep
150,1/27/2026,18:29,       ,  86.000 ,-529.465.001,Đi lại,,,,"Grab 3 chuyến
"
151,1/27/2026,12:30,       ,  30.000 ,-529.379.001,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
152,1/27/2026,12:30,       ,  20.000 ,-529.349.001,Food and Dining,Ăn/Uống vặt,,,Nc cam
153,1/25/2026,20:31,       ,  45.000 ,-529.329.001,Food and Dining,Ăn ngoài tiệm(Nhà),,,Bún mọc
154,1/24/2026,18:00,       ,  75.000 ,-529.284.001,Đi lại,,,,Grab
155,1/24/2026,15:00,       ,  15.000 ,-529.209.001,Food and Dining,Ăn/Uống vặt,,,Nc cam
156,1/24/2026,12:00,       ,  1.000.000 ,-529.194.001,Tiệc & Lễ,,,,2 cái đám cưới
157,1/23/2026,21:30,       ,  455.710 ,-528.194.001,Food and Dining,Đi siêu thị,,,Go
158,1/23/2026,12:00,       ,  45.000 ,-527.738.291,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm sườn
